Acc,Loss,Elapsed,Nodes,Arch
97.96,0.001779633923433721,47.24546694755554,2971.0,2x100
97.76,0.001547658466733992,37.418213844299316,3112.0,2x100
97.97,0.0024882424622774124,50.16322088241577,3019.0,2x100
97.83,0.002797776833176613,47.91781282424927,3033.0,2x100
97.86,0.0023280165623873472,46.46150803565979,2974.0,2x100
97.83,0.0031924850773066282,43.39698100090027,3074.0,2x100
98.04,0.0014826020924374461,45.817687034606934,3144.0,2x100
98.08,0.0003231425362173468,38.44267201423645,3020.0,2x100
97.74,0.003914122469723225,41.460225105285645,3042.0,2x100
97.88,0.0018518678843975067,42.5859739780426,3006.0,2x100
