Acc,Loss,Elapsed,Nodes,Arch
11.35,2.3043696880340576,0.0019969940185546875,0.0,6x1
11.35,2.2983710765838623,0.0018129348754882812,0.0,6x1
11.35,2.304241418838501,0.0018918514251708984,0.0,6x1
11.35,2.2989163398742676,0.0019230842590332031,0.0,6x1
11.35,2.306748628616333,0.0021209716796875,0.0,6x1
11.35,2.301487684249878,0.0018551349639892578,0.0,6x1
11.35,2.307267665863037,0.0019350051879882812,0.0,6x1
11.35,2.3015010356903076,0.0019249916076660156,0.0,6x1
11.35,2.3049519062042236,0.0019490718841552734,0.0,6x1
11.35,2.307429790496826,0.0018808841705322266,0.0,6x1
