Acc,Loss,Elapsed,Nodes,Arch
97.6,6.005989052937366e-05,180.0320999622345,6305.0,6x100
97.77,9.031626541400328e-05,180.04812788963318,775.0,6x100
97.67,8.251458893937524e-06,180.06066703796387,14087.0,6x100
97.34,0.0005825597327202,180.03920698165894,12130.0,6x100
97.67,0.0007012026035226,180.03436398506165,13873.0,6x100
97.77,2.4783796106930826e-05,180.03646802902222,11502.0,6x100
97.86,1.5397536117234267e-05,180.02708506584167,12941.0,6x100
97.5,0.0048162993043661,180.09127402305603,107.0,6x100
97.88,6.134934665169567e-05,180.0637650489807,13147.0,6x100
97.69,3.8524900446645916e-05,180.03067994117737,12861.0,6x100
