Acc,Loss,Elapsed,Nodes,Arch
97.77,0.017686404287815094,3.2215499877929688,3328.0,1x39-1x43
97.49,0.07492286711931229,3.9094700813293457,6482.0,1x30-1x42
97.73,0.04267968237400055,1.965083122253418,3992.0,1x39-1x42
97.6,0.015560437925159931,6.965625047683716,9998.0,1x41-1x40
97.38,0.04240136221051216,1.1981310844421387,1611.0,1x27-1x41
97.62,0.018198445439338684,2.9466230869293213,2406.0,1x38-1x43
97.55,0.005234787706285715,1.6877861022949219,3416.0,1x33-1x41
97.54,0.06685106456279755,1.6085739135742188,2133.0,1x37-1x44
97.82,0.005395769607275724,4.752586841583252,7900.0,1x35-1x45
97.59,0.08071047812700272,1.9333138465881348,2602.0,1x36-1x44
