Acc,Loss,Elapsed,Nodes,Arch
98.14,0.0013320106081664562,180.0540030002594,14378.0,2x200
98.04,0.0010240235133096576,180.0692389011383,7949.0,2x200
97.95,0.0013240360422059894,180.05232787132263,11189.0,2x200
98.17,0.0009621616918593645,180.07934403419495,6309.0,2x200
98.11,0.001227217842824757,180.11011004447937,7716.0,2x200
97.99,0.0009001026046462357,180.07776284217834,13012.0,2x200
98.04,0.00026564268046058714,180.06744599342346,13629.0,2x200
98.05,0.0009691306040622294,180.03306698799133,8269.0,2x200
98.07,0.0007226713933050632,180.04326796531677,11265.0,2x200
97.94,0.0006663762032985687,85.48914313316345,4489.0,2x200
