Acc,Loss,Elapsed,Nodes,Arch
98.28,0.0025437294971197844,35.87213397026062,2935.0,1x112-1x152
98.13,0.01149697508662939,163.34713006019592,81060.0,1x114-1x140
98.2,0.010852630250155926,36.48979210853577,2964.0,1x112-1x142
98.26,0.009044124744832516,38.73278498649597,3040.0,1x107-1x148
98.25,0.008126350119709969,46.42532300949097,3029.0,1x114-1x146
98.27,0.007806131150573492,47.48468995094299,3090.0,1x111-1x140
98.22,0.005832072347402573,180.09641194343567,59678.0,1x118-1x144
98.26,0.005589421838521957,67.103355884552,3104.0,1x119-1x143
98.31,0.00934516079723835,49.597453117370605,3152.0,1x120-1x149
98.3,0.006749847438186407,121.71646809577942,46298.0,1x119-1x142
