Acc,Loss,Elapsed,Nodes,Arch
97.55,0.002766466699540615,15.232088088989258,5820.0,2x50
97.47,0.01072560716420412,20.80720281600952,12040.0,2x50
97.25,0.006010493729263544,8.043081998825073,9497.0,2x50
97.43,0.004310328047722578,20.78584098815918,11998.0,2x50
97.61,0.0014670862583443522,4.735189199447632,3799.0,2x50
97.53,0.006241810042411089,11.575332880020142,5525.0,2x50
97.34,0.002309871604666114,7.353602886199951,10952.0,2x50
97.47,0.010750550776720047,8.219244956970215,7854.0,2x50
97.54,0.006236020475625992,23.443989992141724,9492.0,2x50
97.61,0.0004422698693815619,6.826313018798828,5401.0,2x50
