ARCH	EPOCHS	REG	LAMB	ALPHA	FT	ID	optionals	Acc	Loss	Time	Nodes
2x50	50.0	l1l2	1.0	0.9	10.0	10000.0		97.56	0.039698291569948196	1.8523483276367188	50.0
2x50	50.0	spr	1.0	0.9	10.0	10000.0		96.98	0.02154318243265152	1.1994242668151855	50.0
2x50	50.0	spr	1.0	0.9	10.0	10000.0		97.12	0.057118043303489685	1.6602835655212402	50.0
2x50	50.0	spr	1.0	0.9	10.0	10000.0		96.97	0.051423508673906326	1.4854285717010498	50.0
2x100	50.0	l1l2	0.1	0.1	10.0	10000.0		98.03	0.01272683683782816	33.16246747970581	50.0
2x100	50.0	l1l2	0.1	0.1	10.0	10000.0		97.9	0.007421480026096106	31.946194648742676	50.0
2x100	50.0	l1l2	0.1	0.1	10.0	10000.0		97.99	0.005203774198889732	22.754660606384277	50.0
2x100	50.0	spr	0.1	0.1	10.0	10000.0		98.13	0.0010399209568277001	33.666749238967896	50.0
2x100	50.0	spr	0.1	0.1	10.0	10000.0		98.06	0.00600420543923974	29.112135887145996	50.0
2x100	50.0	spr	0.1	0.1	10.0	10000.0		98.22	0.004730989690870047	36.61361384391785	50.0
2x100	50.0	l1l2	0.1	0.5	10.0	10000.0		98.04	0.0048354193568229675	31.109726905822754	50.0
2x100	50.0	l1l2	0.1	0.5	10.0	10000.0		97.96	0.011738784611225128	31.132848978042603	50.0
2x100	50.0	l1l2	0.1	0.5	10.0	10000.0		98.32	0.006788269151002169	30.078502655029297	50.0
2x100	50.0	l1l2	0.1	0.9	10.0	10000.0		98.02	0.004183728713542223	28.713363885879517	50.0
2x100	50.0	l1l2	0.1	0.9	10.0	10000.0		98.1	0.0051052928902208805	48.335925579071045	50.0
2x100	50.0	l1l2	0.1	0.9	10.0	10000.0		98.29	0.004445578437298536	28.62841510772705	50.0
2x100	50.0	spr	0.1	0.5	10.0	10000.0		97.82	0.009854142554104328	44.37793254852295	50.0
2x100	50.0	spr	0.1	0.5	10.0	10000.0		98.07	0.0023985449224710464	39.45505237579346	50.0
2x100	50.0	spr	0.1	0.5	10.0	10000.0		98.21	0.009411032311618328	27.634210109710693	50.0
2x100	50.0	l1l2	0.5	0.1	10.0	10000.0		97.5	0.024546267464756966	6.847246885299683	50.0
2x100	50.0	l1l2	0.5	0.1	10.0	10000.0		97.62	0.022322990000247955	8.410041809082031	50.0
2x100	50.0	l1l2	0.5	0.1	10.0	10000.0		97.7	0.04965734854340553	12.286347150802612	50.0
2x100	50.0	spr	0.1	0.9	10.0	10000.0		98.17	0.006187535356730223	28.22537660598755	50.0
2x100	50.0	spr	0.1	0.9	10.0	10000.0		98.11	0.0020466085989028215	29.329528093338013	50.0
2x100	50.0	spr	0.1	0.9	10.0	10000.0		98.3	0.005603696685284376	38.80518317222595	50.0
2x100	50.0	l1l2	0.5	0.5	10.0	10000.0		97.8	0.011688299477100372	9.762742042541504	50.0
2x100	50.0	l1l2	0.5	0.5	10.0	10000.0		98.03	0.018132081255316734	11.092514991760254	50.0
2x100	50.0	l1l2	0.5	0.5	10.0	10000.0		97.86	0.023725688457489014	8.97205138206482	50.0
2x100	50.0	spr	0.5	0.1	10.0	10000.0		98.0	0.004563984926789999	9.863053321838379	50.0
2x100	50.0	spr	0.5	0.1	10.0	10000.0		98.02	0.0033717695623636246	8.75609827041626	50.0
2x100	50.0	spr	0.5	0.1	10.0	10000.0		97.96	0.008852805010974407	7.880304336547852	50.0
2x100	50.0	l1l2	0.5	0.9	10.0	10000.0		97.99	0.012764484621584415	31.3380286693573	50.0
2x100	50.0	l1l2	0.5	0.9	10.0	10000.0		98.12	0.01962137036025524	31.50584053993225	50.0
2x100	50.0	l1l2	0.5	0.9	10.0	10000.0		98.12	0.005318314302712679	25.132673025131226	50.0
2x100	50.0	spr	0.5	0.5	10.0	10000.0		97.55	0.01378317829221487	7.056313514709473	50.0
2x100	50.0	spr	0.5	0.5	10.0	10000.0		97.7	0.027172232046723366	10.410079717636108	50.0
2x100	50.0	spr	0.5	0.5	10.0	10000.0		97.59	0.05357518792152405	8.8157958984375	50.0
2x100	50.0	l1l2	1.0	0.1	10.0	10000.0		97.18	0.029098981991410255	2.061108350753784	50.0
2x100	50.0	l1l2	1.0	0.1	10.0	10000.0		97.22	0.06226077303290367	2.04762864112854	50.0
2x100	50.0	l1l2	1.0	0.1	10.0	10000.0		97.32	0.07439608126878738	2.329385995864868	50.0
2x100	50.0	spr	0.5	0.9	10.0	10000.0		98.11	0.022826114669442177	11.908423662185669	50.0
2x100	50.0	spr	0.5	0.9	10.0	10000.0		98.09	0.020011289045214653	14.337382555007935	50.0
2x100	50.0	spr	0.5	0.9	10.0	10000.0		98.17	0.015474631451070309	24.405123472213745	50.0
2x100	50.0	l1l2	1.0	0.5	10.0	10000.0		97.24	0.04759497940540314	3.122201919555664	50.0
2x100	50.0	l1l2	1.0	0.5	10.0	10000.0		97.4	0.06817064434289932	9.171200275421143	50.0
2x100	50.0	l1l2	1.0	0.5	10.0	10000.0		97.41	0.06591906398534775	2.828345775604248	50.0
2x100	50.0	spr	1.0	0.1	10.0	10000.0		97.61	0.030547020956873894	13.697255849838257	50.0
2x100	50.0	spr	1.0	0.1	10.0	10000.0		97.52	0.012438529171049595	2.424621343612671	50.0
2x100	50.0	spr	1.0	0.1	10.0	10000.0		97.56	0.026189202442765236	8.36470913887024	50.0
2x100	50.0	l1l2	1.0	0.9	10.0	10000.0		97.98	0.01579439640045166	15.495393991470337	50.0
2x100	50.0	l1l2	1.0	0.9	10.0	10000.0		98.0	0.021151619032025337	31.3674054145813	50.0
2x100	50.0	l1l2	1.0	0.9	10.0	10000.0		98.0	0.02902194857597351	15.776773691177368	50.0
2x100	50.0	spr	1.0	0.5	10.0	10000.0		97.28	0.02756175398826599	2.5019426345825195	50.0
2x100	50.0	spr	1.0	0.5	10.0	10000.0		97.18	0.07806243747472763	0.85943603515625	50.0
2x100	50.0	spr	1.0	0.5	10.0	10000.0		96.97	0.06154582276940346	1.0868947505950928	50.0
2x200	50.0	l1l2	0.1	0.1	10.0	10000.0		98.27	0.0034168229904025793	180.1993386745453	50.0
2x200	50.0	l1l2	0.1	0.1	10.0	10000.0		98.21	0.004579439759254456	180.39733266830444	50.0
2x200	50.0	l1l2	0.1	0.1	10.0	10000.0		98.22	0.001234459225088358	132.40797328948975	50.0
2x100	50.0	spr	1.0	0.9	10.0	10000.0		97.65	0.02201189287006855	10.830241918563843	50.0
2x100	50.0	spr	1.0	0.9	10.0	10000.0		97.74	0.024946577847003937	6.401960134506226	50.0
2x100	50.0	spr	1.0	0.9	10.0	10000.0		97.71	0.01759176142513752	9.415570974349976	50.0
2x200	50.0	l1l2	0.1	0.5	10.0	10000.0		98.28	0.0053790961392223835	180.19296097755432	50.0
2x200	50.0	l1l2	0.1	0.5	10.0	10000.0		98.11	0.0058662439696490765	180.14736342430115	50.0
2x200	50.0	l1l2	0.1	0.5	10.0	10000.0		98.28	0.0041051930747926235	180.27412748336792	50.0
2x200	50.0	spr	0.1	0.1	10.0	10000.0		98.24	0.0009126848890446126	180.161869764328	50.0
2x200	50.0	spr	0.1	0.1	10.0	10000.0		98.15	0.010085325688123703	180.40615582466125	50.0
2x200	50.0	spr	0.1	0.1	10.0	10000.0		98.12	0.0015301330713555217	180.18312287330627	50.0
2x200	50.0	l1l2	0.1	0.9	10.0	10000.0		98.3	0.005932528991252184	180.18580746650696	50.0
2x200	50.0	l1l2	0.1	0.9	10.0	10000.0		98.17	0.004521045833826065	180.15079545974731	50.0
2x200	50.0	l1l2	0.1	0.9	10.0	10000.0		98.28	0.004381693433970213	180.1891734600067	50.0
2x200	50.0	spr	0.1	0.5	10.0	10000.0		98.26	0.0046606590040028095	180.25015425682068	50.0
2x200	50.0	spr	0.1	0.5	10.0	10000.0		98.25	0.0050237528048455715	180.26239013671875	50.0
2x200	50.0	spr	0.1	0.5	10.0	10000.0		98.22	0.0025234902277588844	180.1150884628296	50.0
2x200	50.0	l1l2	0.5	0.1	10.0	10000.0		98.14	0.021442674100399017	26.08179783821106	50.0
2x200	50.0	l1l2	0.5	0.1	10.0	10000.0		98.03	0.012413163669407368	22.466880083084106	50.0
2x200	50.0	l1l2	0.5	0.1	10.0	10000.0		98.09	0.005790533032268286	19.420600414276123	50.0
2x200	50.0	spr	0.1	0.9	10.0	10000.0		98.23	0.006497845519334078	180.14760065078735	50.0
2x200	50.0	spr	0.1	0.9	10.0	10000.0		98.23	0.0035465301480144262	180.1250822544098	50.0
2x200	50.0	spr	0.1	0.9	10.0	10000.0		98.31	0.001650255755521357	180.2752411365509	50.0
2x200	50.0	l1l2	0.5	0.5	10.0	10000.0		98.27	0.02830328233540058	85.96751523017883	50.0
2x200	50.0	l1l2	0.5	0.5	10.0	10000.0		98.28	0.011647696606814861	80.46064615249634	50.0
2x200	50.0	l1l2	0.5	0.5	10.0	10000.0		98.22	0.015393861569464207	33.24377489089966	50.0
2x200	50.0	spr	0.5	0.1	10.0	10000.0		98.25	0.005634637083858252	40.46002006530762	50.0
2x200	50.0	spr	0.5	0.1	10.0	10000.0		98.3	0.006106942426413298	180.113627910614	50.0
2x200	50.0	spr	0.5	0.1	10.0	10000.0		98.27	0.009538162499666214	34.13175082206726	50.0
2x200	50.0	l1l2	0.5	0.9	10.0	10000.0		98.23	0.006342263426631689	180.15638971328735	50.0
2x200	50.0	l1l2	0.5	0.9	10.0	10000.0		98.33	0.01771553047001362	180.11965203285217	50.0
2x200	50.0	l1l2	0.5	0.9	10.0	10000.0		98.38	0.023352498188614845	180.16013145446777	50.0
2x200	50.0	spr	0.5	0.5	10.0	10000.0		98.03	0.008205139078199863	19.71827983856201	50.0
2x200	50.0	spr	0.5	0.5	10.0	10000.0		98.14	0.012121890671551228	17.852542638778687	50.0
2x200	50.0	spr	0.5	0.5	10.0	10000.0		98.18	0.01790054328739643	15.706098079681396	50.0
2x200	50.0	l1l2	1.0	0.1	10.0	10000.0		97.77	0.003624085569754243	11.719372510910034	50.0
2x200	50.0	l1l2	1.0	0.1	10.0	10000.0		97.65	0.02758054994046688	8.134331703186035	50.0
2x200	50.0	l1l2	1.0	0.1	10.0	10000.0		97.49	0.04492681846022606	7.099214315414429	50.0
2x200	50.0	l1l2	1.0	0.5	10.0	10000.0		98.07	0.011992652900516987	24.912580966949463	50.0
2x200	50.0	l1l2	1.0	0.5	10.0	10000.0		98.08	0.030818996950984	15.981649160385132	50.0
2x200	50.0	l1l2	1.0	0.5	10.0	10000.0		98.07	0.010485594160854816	14.97577977180481	50.0
2x200	50.0	spr	0.5	0.9	10.0	10000.0		98.24	0.008322181180119514	180.81946778297424	50.0
2x200	50.0	spr	0.5	0.9	10.0	10000.0		98.19	0.015054960735142231	46.093250036239624	50.0
2x200	50.0	spr	0.5	0.9	10.0	10000.0		98.35	0.020349854603409767	49.585660219192505	50.0
2x200	50.0	l1l2	1.0	0.9	10.0	10000.0		98.23	0.009595375508069992	180.20200037956238	50.0
2x200	50.0	l1l2	1.0	0.9	10.0	10000.0		98.27	0.027599923312664032	180.1624400615692	50.0
2x200	50.0	l1l2	1.0	0.9	10.0	10000.0		98.18	0.007290429901331663	180.23751544952393	50.0
2x200	50.0	spr	1.0	0.1	10.0	10000.0		98.12	0.026836253702640533	21.356642484664917	50.0
2x200	50.0	spr	1.0	0.1	10.0	10000.0		98.02	0.028280792757868767	16.66517734527588	50.0
2x200	50.0	spr	1.0	0.1	10.0	10000.0		97.89	0.013285115361213684	13.646953582763672	50.0
6x100	50.0	l1l2	0.1	0.1	10.0	10000.0		98.05	0.0017928542802110314	180.18893599510193	50.0
6x100	50.0	l1l2	0.1	0.1	10.0	10000.0		97.68	0.06005074083805084	180.29838132858276	50.0
6x100	50.0	l1l2	0.1	0.1	10.0	10000.0		97.86	0.0020689622033387423	180.11394453048706	50.0
2x200	50.0	spr	1.0	0.5	10.0	10000.0		97.67	0.04074198380112648	4.603959321975708	50.0
2x200	50.0	spr	1.0	0.5	10.0	10000.0		97.64	0.014433607459068298	3.9882280826568604	50.0
2x200	50.0	spr	1.0	0.5	10.0	10000.0		97.47	0.04363347962498665	6.638784646987915	50.0
2x200	50.0	spr	1.0	0.9	10.0	10000.0		98.0	0.02319624274969101	28.39121174812317	50.0
2x200	50.0	spr	1.0	0.9	10.0	10000.0		97.97	0.009352726861834526	23.03270983695984	50.0
2x200	50.0	spr	1.0	0.9	10.0	10000.0		98.04	0.029402611777186394	31.034422159194946	50.0
6x100	50.0	l1l2	0.1	0.5	10.0	10000.0		98.1	0.00015539291780442	180.12258338928223	50.0
6x100	50.0	l1l2	0.1	0.5	10.0	10000.0		97.88	0.00548753933981061	180.11454463005066	50.0
6x100	50.0	l1l2	0.1	0.5	10.0	10000.0		98.11	0.0002254595310660079	180.1561152935028	50.0
6x100	50.0	spr	0.1	0.1	10.0	10000.0		97.9	5.500631232280284e-05	180.1310155391693	50.0
