ARCH	EPOCHS	REG	LAMB	ALPHA	FT	ID	optionals	Acc	Loss	Time	Nodes	Pruned_arch
2x100	50.0	spr	0.5	0.9	10.0	10000.0		98.08	0.018008967861533165	15.98647403717041	3066.0	"1x61-1x80
"
2x100	50.0	spr	0.5	0.9	10.0	10000.0		98.01	0.009000091813504696	15.651466131210327	3107.0	"1x61-1x87
"
2x100	50.0	spr	0.5	0.9	10.0	10000.0		98.04	0.01968321204185486	17.667685985565186	2951.0	"1x63-1x86
"
2x100	50.0	spr	1.0	0.1	10.0	10000.0		97.45	0.018404750153422356	8.423628091812134	3094.0	"1x31-1x67
"
2x100	50.0	spr	1.0	0.1	10.0	10000.0		97.31	0.04904886707663536	5.035398960113525	7379.0	"1x29-1x71
"
2x100	50.0	spr	1.0	0.1	10.0	10000.0		97.67	0.08140280097723007	12.28714394569397	6321.0	"1x34-1x74
"
2x100	50.0	spr	1.0	0.5	10.0	10000.0		97.4	0.11850568652153015	3.034960985183716	3731.0	"1x23-1x55
"
2x100	50.0	spr	1.0	0.5	10.0	10000.0		97.26	0.07022122293710709	3.286461114883423	7194.0	"1x21-1x53
"
2x100	50.0	spr	1.0	0.5	10.0	10000.0		97.16	0.07590259611606598	1.4031920433044434	3384.0	"1x21-1x53
"
2x100	50.0	spr	1.0	0.9	10.0	10000.0		97.77	0.022421052679419518	13.441961765289307	3096.0	"1x45-1x77
"
2x100	50.0	spr	1.0	0.9	10.0	10000.0		97.77	0.032463498413562775	16.671809911727905	5955.0	"1x43-1x78
"
2x100	50.0	spr	1.0	0.9	10.0	10000.0		97.77	0.04558664560317993	10.628355026245117	2967.0	"1x42-1x83
"
2x200	50.0	spr	0.1	0.1	10.0	10000.0		98.22	0.0033173533156514168	180.10939407348633	8131.0	"1x193-1x200
"
2x200	50.0	spr	0.1	0.1	10.0	10000.0		98.19	0.0094804922118783	149.51050305366516	4220.0	"1x192-1x200
"
2x200	50.0	spr	0.1	0.1	10.0	10000.0		98.1	0.0015872381627559662	155.0688989162445	3485.0	"1x190-1x200
"
2x200	50.0	spr	0.1	0.5	10.0	10000.0		98.28	0.005278982687741518	180.1072292327881	6987.0	"1x166-1x200
"
2x200	50.0	spr	0.1	0.5	10.0	10000.0		98.05	0.00560929486528039	180.06055188179016	11009.0	"1x172-1x200
"
2x200	50.0	spr	0.1	0.5	10.0	10000.0		98.22	0.0013878258178010583	180.0923731327057	5354.0	"1x172-1x200
"
2x200	50.0	spr	0.1	0.9	10.0	10000.0		98.3	0.006414031609892845	180.10566782951355	8112.0	"1x193-1x200
"
2x200	50.0	spr	0.1	0.9	10.0	10000.0		98.2	0.005011546425521374	180.0763430595398	5946.0	"1x194-1x200
"
2x200	50.0	spr	0.1	0.9	10.0	10000.0		98.31	0.0017564728623256087	180.48543500900269	6135.0	"1x196-1x200
"
2x200	50.0	spr	0.5	0.1	10.0	10000.0		98.08	0.0023316049482673407	115.10368800163269	37259.0	"1x89-1x166
"
2x200	50.0	spr	0.5	0.1	10.0	10000.0		98.2	0.011601482518017292	52.886001110076904	3214.0	"1x93-1x160
"
2x200	50.0	spr	0.5	0.1	10.0	10000.0		98.11	0.0112687386572361	37.44607496261597	3139.0	"1x89-1x155
"
2x200	50.0	spr	0.5	0.5	10.0	10000.0		97.96	0.009630673564970493	18.661980867385864	3029.0	"1x56-1x144
"
2x200	50.0	spr	0.5	0.5	10.0	10000.0		98.13	0.019016878679394722	24.650709867477417	3600.0	"1x57-1x144
"
2x200	50.0	spr	0.5	0.5	10.0	10000.0		98.04	0.012417932040989399	28.19281315803528	2997.0	"1x59-1x140
"
2x200	50.0	spr	0.5	0.9	10.0	10000.0		98.33	0.03140083700418472	55.3182909488678	3054.0	"1x114-1x172
"
2x200	50.0	spr	0.5	0.9	10.0	10000.0		98.19	0.012272126041352749	180.07188296318054	42090.0	"1x110-1x162
"
2x200	50.0	spr	0.5	0.9	10.0	10000.0		98.26	0.019774289801716805	123.80006885528564	49288.0	"1x117-1x159
"
2x200	50.0	spr	1.0	0.1	10.0	10000.0		97.98	0.021523145958781242	23.051151990890503	3096.0	"1x57-1x117
"
2x200	50.0	spr	1.0	0.1	10.0	10000.0		98.09	0.018974589183926582	22.03848099708557	3037.0	"1x60-1x125
"
2x200	50.0	spr	1.0	0.1	10.0	10000.0		97.98	0.011165543459355831	19.33464288711548	2973.0	"1x59-1x114
"
2x200	50.0	spr	1.0	0.5	10.0	10000.0		97.71	0.006834089756011963	8.567550897598267	13006.0	"1x36-1x74
"
2x200	50.0	spr	1.0	0.5	10.0	10000.0		97.57	0.03329525887966156	7.2071380615234375	7195.0	"1x35-1x83
"
2x200	50.0	spr	1.0	0.5	10.0	10000.0		97.61	0.043944984674453735	9.5472731590271	5906.0	"1x32-1x70
"
2x200	50.0	spr	1.0	0.9	10.0	10000.0		98.04	0.042236361652612686	34.257347106933594	3050.0	"1x74-1x161
"
