ARCH	EPOCHS	ID	optionals	Acc	Loss	Time
2x50	50.0	10000.0		97.55	0.002766466699540615	14.882405519485474
2x50	50.0	10000.0		97.47	0.01072560716420412	20.64798355102539
2x50	50.0	10000.0		97.25	0.006010493729263544	8.07347059249878
2x100	50.0	10000.0		97.96	0.001779633923433721	39.29190731048584
2x100	50.0	10000.0		97.76	0.001547658466733992	35.014118909835815
2x100	50.0	10000.0		97.97	0.0024882424622774124	39.000659704208374
2x200	50.0	10000.0		98.14	0.0013320106081664562	180.2271945476532
2x200	50.0	10000.0		98.04	0.0010240235133096576	180.2301619052887
2x200	50.0	10000.0		97.95	0.0013240360422059894	180.13742542266846
6x100	50.0	10000.0		97.6	6.005989052937366e-05	180.16294050216675
6x100	50.0	10000.0		97.77	9.031626541400328e-05	180.12823700904846
6x100	50.0	10000.0		97.67	8.251458893937524e-06	180.13904190063477
6x500	50.0	10000.0	"TIME=1800.0
"	98.1	1.2898689419671427e-05	1800.033290863037
6x500	50.0	10000.0	"TIME=1800.0
"	98.13	3.1779130949871615e-05	1800.039545059204
6x500	50.0	10000.0	"TIME=1800.0
"	98.27	7.633061613887548e-06	1800.0329411029816
