Acc,Loss,Elapsed,Nodes,Arch
95.56,0.08575735241174698,0.8421308994293213,375.0,1x13-1x20
95.5,0.1698998361825943,0.13694405555725098,1.0,1x12-1x21
95.57,0.05124739184975624,0.1913928985595703,1.0,1x14-1x19
