ARCH	EPOCHS	REG	LAMB	ALPHA	FT	ID	DELTA	optionals	Acc	Loss	Time	Nodes	Pruned_arch
2x25	50.0	spr	0.5	0.5	10.0	10000.0	20		96.64	0.038730986416339874	0.30614686012268066	1.0	"1x24-1x19
"
2x25	50.0	spr	0.5	0.9	10.0	10000.0	20		96.65	0.03951181098818779	1.6073808670043945	861.0	"1x19-1x22
"
2x25	50.0	spr	0.5	0.9	10.0	10000.0	20		96.23	0.061559032648801804	0.26534318923950195	1.0	"1x15-1x23
"
2x25	50.0	spr	0.5	0.9	10.0	10000.0	20		96.13	0.07433795183897018	0.21963095664978027	1.0	"1x15-1x21
"
2x25	50.0	spr	1.0	0.1	10.0	10000.0	20		96.74	0.11801265925168991	0.28781890869140625	1.0	"1x25-1x18
"
2x25	50.0	spr	1.0	0.1	10.0	10000.0	20		96.88	0.06900016218423843	0.33730292320251465	1.0	"1x25-1x19
"
2x25	50.0	spr	1.0	0.1	10.0	10000.0	20		96.84	0.04214511439204216	0.31463098526000977	1.0	"1x22-1x17
"
2x25	50.0	spr	1.0	0.5	10.0	10000.0	20		96.78	0.0574316643178463	0.35683608055114746	1.0	"1x25-1x21
"
2x25	50.0	spr	1.0	0.5	10.0	10000.0	20		96.43	0.044073086231946945	0.4870438575744629	1.0	"1x25-1x17
"
2x25	50.0	spr	1.0	0.5	10.0	10000.0	20		96.24	0.11047685891389847	0.29544901847839355	1.0	"1x25-1x20
"
2x25	50.0	spr	1.0	0.9	10.0	10000.0	20		95.56	0.08575735241174698	0.8421308994293213	375.0	"1x13-1x20
"
2x25	50.0	spr	1.0	0.9	10.0	10000.0	20		95.5	0.1698998361825943	0.13694405555725098	1.0	"1x12-1x21
"
2x25	50.0	spr	1.0	0.9	10.0	10000.0	20		95.57	0.05124739184975624	0.1913928985595703	1.0	"1x14-1x19
"
